Name,TakesOnlineOrders,hastablebooking,Ratings,Votes,Rest_Type,Cuisines,Cost,Type,City,Ratings_null,target
Durga Sagar,1,0,3.3,8,74,1628,150.0,2,16,0,0
Fiero Pizzeria,1,0,4.0,61,74,606,400.0,2,28,0,1
Cafe Noir,1,0,3.4,4,13,275,1500.0,2,19,0,0
Kanis Kitchen,0,0,3.6,14,74,1628,250.0,2,18,0,0
PHEW Play Hard Eat Wild,1,1,3.9,488,3,133,700.0,1,24,0,1
Abhiruchi Andhra Mess,1,0,3.2,50,59,2403,300.0,2,8,0,0
AlBek,1,0,3.9,175,92,2155,450.0,2,25,0,1
Raapchick,1,0,3.6,49,74,312,300.0,4,19,0,0
Cravingz,1,0,3.7,17,89,298,400.0,2,15,0,0
Drunken Monkey,1,0,4.2,116,89,2010,400.0,2,25,0,1
Tandoori Ghar,1,0,3.7,0,13,1027,400.0,2,17,1,0
XO Belgian Waffle,1,0,4.5,563,29,226,400.0,2,2,0,1
Dhaba Bytes,1,0,4.1,134,13,917,650.0,4,28,0,1
Momo Blues,1,0,3.7,0,74,2609,200.0,4,2,1,0
The Ants Cafe  Store,1,1,3.9,1387,3,2446,800.0,2,10,0,1
Kabab Ghar,0,0,3.2,4,92,2173,600.0,4,15,0,0
Aaranya Restaurant,1,0,3.4,212,13,1100,800.0,4,0,0,0
Rayalaseema Chefs,1,1,3.9,231,13,964,800.0,2,8,0,1
Krispy Kreme,1,0,4.0,47,29,226,300.0,2,18,0,1
Ice N Fries Cafe,1,0,3.8,44,74,567,200.0,2,12,0,1
New Prashanth Hotel,0,0,3.9,66,13,1628,400.0,4,1,0,1
Little Shangai,0,0,3.3,4,44,2639,400.0,2,4,0,0
Siri Jai Bhavani Mess,1,0,3.7,0,59,2662,400.0,2,26,1,0
The Marash,1,0,4.3,62,29,1909,250.0,2,0,0,1
China South,0,0,3.4,4,13,2722,600.0,2,6,0,0
Over The Top Terrace Lounge,0,1,3.9,1389,53,146,1400.0,2,28,0,1
Oye Mithai,1,0,3.7,0,86,832,200.0,2,0,1,0
YumYumDilli,1,0,3.6,51,27,917,500.0,2,20,0,0
Cake Fantasy,1,0,3.7,0,30,220,300.0,2,29,1,0
Desi Flavours,1,0,3.9,121,74,1027,400.0,2,28,0,1
Panwaadi,0,0,3.7,0,29,257,100.0,3,29,1,0
Rayaans BBQ,1,0,3.3,6,74,943,350.0,2,4,0,0
Sagar Restaurant  Chats,1,0,3.6,7,13,1737,500.0,2,11,0,0
Dine  9 Paratha Corner,1,0,3.6,33,74,999,300.0,4,23,0,0
Napoli Italian Bistro,1,1,4.1,1060,14,615,1200.0,4,12,0,1
Bangalore Masala House,1,0,4.2,255,3,2355,500.0,1,22,0,1
Innate,0,0,3.7,0,27,1996,300.0,2,15,1,0
Shree Udupi Grand,1,0,3.5,17,13,1673,450.0,2,4,0,0
Aaranya Restaurant,1,0,3.4,212,13,1100,800.0,4,28,0,0
Imperia Restaurant,1,0,2.5,129,13,1010,500.0,4,15,0,0
Falahaar,0,0,3.9,154,74,1432,200.0,2,28,0,1
The Bier Library,1,1,4.3,567,63,179,2000.0,5,29,0,1
Allana Kabab,0,0,3.3,4,74,917,200.0,4,3,0,0
Rana Vada Pav,1,0,3.7,0,74,1832,250.0,4,0,1,0
Yum Tum,0,0,3.4,7,74,1547,250.0,2,28,0,0
Asha Sweets Centre,1,0,4.0,73,86,847,250.0,2,11,0,1
WataBiryani,1,0,3.7,0,27,2063,500.0,2,16,1,0
Auntie Fungs,1,0,3.8,20,44,7,700.0,4,15,0,1
Amoeba Sports Bar,1,1,3.9,578,54,67,1000.0,6,15,0,1
Mr Parathewala,1,0,3.7,0,92,917,300.0,2,1,1,0
Chocolate Philosophy,0,0,3.7,0,29,218,500.0,3,18,1,0
Hatti Punjab Di,1,0,2.8,20,13,999,550.0,2,13,0,0
Enerjuvate Studio  Cafe,1,1,4.4,466,3,2357,800.0,4,28,0,1
Reddys Restaurant,1,0,3.7,141,13,2414,500.0,2,2,0,0
WOW Momo,1,0,2.9,46,49,1901,400.0,2,15,0,0
Simon Says Brew Works,0,1,4.5,1932,63,21,1400.0,4,0,0,1
Goodness Beverages,1,0,3.4,4,27,1996,250.0,2,28,0,0
Kolkata Biryani Center,1,0,3.8,40,74,2063,250.0,2,15,0,1
Guru Palace,1,0,3.1,106,13,2622,450.0,2,4,0,0
Bubblewrap Waffle Co,1,0,4.4,356,29,226,400.0,3,16,0,1
Cafe Madhura,1,0,3.8,59,74,1628,200.0,2,12,0,1
Karnataka Bhel House,0,0,4.1,453,74,1811,100.0,2,11,0,1
Delitz Creamvilla Cafe,1,0,3.9,77,8,2398,600.0,2,14,0,1
XO Belgian Waffle,1,0,4.5,549,29,226,400.0,2,4,0,1
Five Senses,1,0,3.7,0,92,171,500.0,2,17,1,0
Heights Cafe  Hotel Bangalore International,1,0,3.2,2,13,199,1000.0,2,18,0,0
M World Cafe,1,0,3.5,14,3,2257,500.0,2,12,0,0
Chocolate Bomb,0,0,3.7,0,0,1780,300.0,3,2,1,0
Flavors of India,1,0,3.6,34,13,1003,800.0,4,8,0,0
Dabba Karkhana,1,0,3.5,17,92,917,300.0,2,3,0,0
Rveur Chocolates,0,0,3.7,13,29,218,400.0,3,28,0,0
Tannas Kitchen,1,0,3.1,7,74,594,250.0,2,24,0,0
Rooftop Cafe,1,0,4.1,803,3,2402,400.0,4,25,0,1
Troll,1,0,3.8,103,29,246,300.0,3,10,0,1
30 Square,1,0,4.2,559,74,1904,400.0,2,3,0,1
Juice And Joy,0,0,3.7,0,89,2010,150.0,2,0,1,0
Lassi Cafe,0,0,3.6,23,56,2053,300.0,3,17,0,0
Muddhe Bytes,1,0,3.4,9,74,1640,300.0,4,4,0,0
The Donut Baker,0,0,3.8,62,16,218,150.0,2,28,0,1
No 10 Fort Cochin,1,1,3.8,194,13,2140,800.0,4,20,0,1
Hotel Nisarga Grand,0,0,3.6,33,13,1737,500.0,4,5,0,0
Twins,0,0,3.8,139,14,1043,500.0,5,27,0,1
Rock On Rolls  Parathas,0,0,3.7,0,44,1512,250.0,3,24,1,0
Desi Bytes,1,0,3.1,97,74,999,450.0,4,10,0,0
MiniMelts,0,0,3.9,66,29,555,200.0,3,20,0,1
Taco Bell,1,0,4.1,1963,74,823,600.0,2,3,0,1
Mongolian Kitchen,0,0,3.8,30,74,2615,300.0,2,2,0,1
Izakaya Gastro Pub,1,1,3.8,128,12,1186,1200.0,6,15,0,1
Grand Gowdru Hotel,1,0,3.5,31,13,1737,700.0,2,28,0,0
Hum Biryani,1,0,3.4,17,27,2151,600.0,2,3,0,0
Kanteen 038,1,0,3.9,54,74,1872,200.0,4,6,0,1
SmokeAPot,1,0,3.6,91,92,2178,500.0,2,16,0,0
eatfit,1,0,4.5,873,27,514,500.0,2,6,0,1
MM Bar  Restaurant,0,0,3.4,6,76,1730,700.0,4,22,0,0
Aaha Andhra,0,0,3.6,16,44,2336,900.0,4,6,0,0
Potful,1,0,3.8,834,27,2134,650.0,2,12,0,1
Navrang Kabab Korner,1,0,3.7,349,13,1287,600.0,4,11,0,0
Costa Coffee,0,0,4.0,236,3,2401,500.0,1,28,0,1
The Dragon Express,0,0,3.7,0,74,2521,200.0,4,15,1,0
1722 Urban Bistro,1,1,4.1,218,13,1065,600.0,4,0,0,1
Navabs,1,0,4.0,21,27,1290,600.0,2,9,0,1
Dosa Bazaar,1,0,3.9,113,74,1862,200.0,2,25,0,1
Sector 7 Caf,1,0,4.3,1101,3,2377,700.0,4,12,0,1
Punjab Di Rasoi,1,0,3.7,0,74,917,400.0,2,19,1,0
Sultans Biryani,0,0,3.0,12,27,2151,700.0,2,4,0,0
Sri Sai Sagar Food,0,0,3.7,0,74,1837,300.0,4,13,1,0
Prajwal The Restaurant,1,0,3.5,47,74,1026,300.0,4,8,0,0
Biriyani Bhatti,1,0,3.7,21,74,2593,400.0,2,0,0,0
Five Star Chicken,1,0,3.9,62,74,2240,300.0,2,4,0,1
Midnight Pizza Slurpp,0,0,3.7,99,27,627,700.0,2,3,0,0
Swadesh Tadka,1,0,3.5,179,13,1026,600.0,2,16,0,0
Marhaba,1,0,3.5,8,44,236,500.0,2,15,0,0
Bewiched,1,0,3.4,10,74,416,300.0,2,28,0,0
Smooth,0,0,3.7,0,44,246,200.0,3,24,1,0
Grill 99  The RitzCarlton,0,0,3.5,12,39,1810,4000.0,4,18,0,0
China Tang,1,0,3.7,41,92,2521,600.0,2,2,0,0
SKY FOG,0,0,3.2,5,36,251,300.0,3,23,0,0
Shawarma Inc,1,0,3.1,31,91,1527,250.0,2,1,0,0
Tummy Fuel,1,0,4.2,450,3,2296,400.0,2,3,0,1
Prawn Crunch,0,0,3.7,0,93,1597,400.0,4,13,1,0
New Shanthi Sagar,0,0,2.8,118,13,1382,450.0,2,23,0,0
FRYBIES,1,0,3.3,15,74,287,350.0,2,25,0,0
Svadu Sweets,0,0,3.3,5,85,1842,150.0,4,0,0,0
Sri Lakshmi Kabab Center,0,0,3.7,4,74,676,200.0,4,25,1,0
Ice N Spice,0,0,3.7,17,29,218,200.0,3,6,0,0
Dosa Plaza,1,0,3.8,140,74,1739,200.0,2,25,0,1
Frozen Bottle,1,0,4.0,35,56,2008,400.0,2,22,0,1
Sandhya Sagar,0,0,3.7,0,74,1132,300.0,2,20,1,0
Meghana Foods,1,0,4.4,7210,13,2193,600.0,2,0,0,1
Gams Delicacy,1,1,4.2,325,13,1019,800.0,4,0,0,1
Amaravati Authentic Andhra Restaurant,1,0,3.0,148,13,2480,600.0,2,8,0,0
Creamvilla,1,0,3.9,66,8,2398,600.0,3,14,0,1
The Culinarium,0,0,4.0,31,8,2393,1100.0,1,5,0,1
Basawa Hotel,0,0,3.4,8,74,1628,250.0,4,3,0,0
Bang  The RitzCarlton,0,1,4.2,479,53,437,3000.0,5,6,0,1
The Irish House,0,1,4.3,1776,20,266,1700.0,6,15,0,1
California Burrito,0,0,3.3,9,44,826,400.0,2,25,0,0
Biriyani Zone,1,0,3.9,1618,13,2167,800.0,4,19,0,1
Gud Dhani,1,0,4.0,830,13,1504,500.0,2,29,0,1
AQNI,1,0,3.0,9,74,1278,500.0,2,22,0,0
Hammered,1,1,4.6,4841,71,1450,1300.0,1,13,0,1
Stoner,1,0,4.5,2594,32,554,500.0,4,0,0,1
Savoury  Sea Shell Restaurant,1,0,3.9,467,13,835,550.0,4,0,0,1
Stories,1,1,4.2,2206,72,446,1200.0,2,24,0,1
The Eatery Cafe and Restaurant,0,0,3.7,0,3,2331,500.0,1,3,1,0
Johnny Fox,0,0,3.9,70,76,999,1500.0,6,29,0,1
Stars N Stripes,0,0,2.7,77,74,1061,500.0,2,18,0,0
Cafe Aira,1,0,4.1,216,3,2342,500.0,4,16,0,1
BTM,0,0,3.7,0,13,1344,400.0,4,0,1,0
Chef All Nite,1,0,3.9,464,93,2622,300.0,2,25,0,1
Cold Smith Ice Creams,1,0,3.9,43,29,555,450.0,2,14,0,1
Bakers Glove,1,0,3.3,7,52,220,550.0,2,16,0,0
Mango Greens,0,1,3.9,48,13,1168,900.0,3,4,0,1
Healthy Parathawala,1,0,3.7,0,74,917,200.0,2,2,1,0
Bakers Cafe,1,0,3.5,8,0,1902,200.0,2,17,0,0
KitchensJP Nagar,1,0,3.9,488,92,2139,400.0,2,4,0,1
Easy Tiger,0,0,4.3,2265,12,444,1100.0,5,5,0,1
Brownie Heaven,1,0,3.9,18,29,218,300.0,3,29,0,1
Mr Cane,1,0,3.7,0,56,649,100.0,2,24,1,0
MACHALI,0,0,3.7,0,13,783,550.0,4,22,1,0
Yauatcha Ptisserie,1,0,3.9,58,29,218,600.0,4,5,0,1
Mangala Hotel,1,0,3.6,96,74,706,300.0,4,12,0,0
Coconut Grove,0,0,3.4,97,14,1656,1100.0,4,4,0,0
Punjabites,1,0,3.7,10,92,997,400.0,2,19,0,0
Melt  Eden Park,1,1,4.0,347,13,1159,1000.0,2,24,0,1
North Indian Kitchen,0,0,3.2,13,91,917,300.0,2,12,0,0
Rawal Jalebi,1,0,3.5,9,29,218,100.0,2,5,0,0
Kava Bar  Fairfield By Marriott,0,0,3.4,10,76,1398,1800.0,6,11,0,0
New Sagar Fast Food,0,0,3.6,68,74,1730,450.0,4,7,0,0
Cafe Daily Bread,0,0,3.7,128,52,1935,600.0,3,14,0,0
Eat Eroo Bombay Vada Pav  Chats,0,0,3.7,0,74,1832,200.0,2,8,1,0
Lucknowiz,1,0,3.5,323,74,769,500.0,2,2,0,0
Anand Sweets And Savouries,1,0,4.2,1077,86,847,400.0,3,2,0,1
Chefie,1,0,3.8,37,74,95,200.0,2,12,0,1
New South Corner,1,0,3.7,20,74,1737,300.0,2,24,0,0
South Cool Point,1,0,3.7,0,29,1996,100.0,2,1,1,0
Marias Goan Kitchen,1,0,3.9,395,13,482,750.0,2,2,0,1
Ambur Tasty Biriyani,0,0,3.2,4,74,2063,200.0,4,28,0,0
Lassi Shop,1,0,3.8,23,56,2029,100.0,2,5,0,1
Dice N Dine,1,1,4.3,1800,15,64,900.0,4,0,0,1
BR Military Hotel,0,0,3.1,6,74,917,300.0,4,6,0,0
The Cake Lair,1,0,3.5,9,74,1928,600.0,2,0,0,0
29 Degrees North,1,0,3.9,283,74,1217,250.0,4,26,0,1
1947,0,1,3.9,620,13,1043,1000.0,4,11,0,1
Biryani Palace,1,0,3.6,37,13,2156,750.0,2,27,0,0
Khan Saheb Grills and Rolls,1,0,4.0,1072,74,408,350.0,2,18,0,1
New Royal Treat,1,0,2.8,102,74,999,350.0,4,3,0,0
Kolkata King,1,0,3.6,6,74,408,300.0,4,25,0,0
The Fiery Indian Kitchen,1,0,3.4,7,13,917,700.0,2,5,0,0
Currylicious,0,0,3.1,49,44,1726,800.0,2,11,0,0
Jai Mataji Farshan  Sweets,1,0,3.8,48,90,847,150.0,3,27,0,1
The Chocolate Heaven,1,0,3.7,0,32,232,600.0,2,6,1,0
CAMP TANDOOR,1,0,3.7,15,74,917,300.0,2,20,0,0
20 Char  Sterlings MAC Hotel,1,1,4.0,419,14,2570,1400.0,6,23,0,1
Smoothies Cafe,1,0,3.7,0,92,2412,200.0,2,20,1,0
Warm Oven,1,0,3.8,24,16,1902,500.0,3,26,0,1
Just Shawarma,1,0,3.7,118,74,236,300.0,4,26,0,0
Hoodi Baba A Streat Caff,1,0,3.7,38,74,1432,300.0,4,15,0,0
Dash In,0,0,3.1,53,13,1089,600.0,2,2,0,0
Paper Cup Cafe,0,0,3.5,11,74,1875,400.0,4,27,0,0
Vasudev Adigas,0,0,2.8,29,74,1737,300.0,4,22,0,0
Hyderabadi Biryani Hub,1,0,3.2,24,13,2156,600.0,4,8,0,0
Biryani Lakhnawi,0,0,3.6,13,74,767,500.0,4,8,0,0
SmokeAPot,1,0,3.3,10,92,2133,600.0,2,28,0,0
Tempura Restaurant,0,0,3.9,122,13,643,500.0,4,13,0,1
Kolkata Famous Katti Rolls,1,0,3.6,36,92,408,200.0,2,0,0,0
The Hole in the Wall Cafe,0,0,4.6,7127,3,2261,600.0,1,2,0,1
Spoonful Of Sugar,0,0,4.0,863,32,222,800.0,3,23,0,1
Zeeshan,1,0,3.8,214,13,1250,700.0,4,2,0,1
A2B  Adyar Ananda Bhavan,1,0,4.2,40,92,1777,200.0,2,3,0,1
Firangi Bake,1,0,4.1,95,27,827,600.0,2,2,0,1
De3  The Eatery,0,0,3.1,13,50,287,250.0,4,27,0,0
Brew Point,1,0,3.6,10,3,2264,500.0,4,4,0,0
ThrowBack  Pub  Dine,0,0,3.9,234,12,619,1000.0,5,5,0,1
Fatsos,1,0,3.8,72,3,2272,650.0,2,23,0,1
Truffles,0,0,4.5,3614,3,2265,900.0,4,18,0,1
Yomama,0,0,3.6,8,74,52,800.0,2,6,0,0
Aubree Le Chocolatier,1,0,3.6,19,29,218,300.0,2,2,0,0
Crunch Pizzas,1,0,2.6,473,74,627,600.0,2,4,0,0
5th Main Cafe,0,0,3.5,15,3,2401,250.0,4,28,0,0
Al Swaad Take Away,1,0,3.1,13,74,1351,350.0,2,5,0,0
Bruncherz,0,0,3.5,15,74,999,200.0,2,0,0,0
South Side Grill,1,0,3.5,14,13,896,600.0,2,29,0,0
Chocolate Bomb,0,0,3.7,0,0,1780,300.0,2,3,1,0
NOC Cafe  Catering,1,0,3.2,7,74,1199,400.0,4,9,0,0
The Belgian Waffle Co,1,0,4.1,130,29,226,350.0,3,12,0,1
Papacream,0,0,3.8,28,29,246,350.0,3,17,0,1
Bhaijaan Barbeques,1,0,3.4,6,74,873,200.0,2,0,0,0
Desi Adda,0,0,3.3,22,74,999,300.0,4,0,0,0
The Coastal Crew by Fujian on 24th,1,1,4.2,1031,14,2720,1100.0,2,0,0,1
Desi Dhaba,1,0,3.8,303,74,2622,300.0,4,21,0,1
The Enav Bowl,0,0,3.8,20,74,496,300.0,4,28,0,1
The Kitchen Story,1,0,3.3,19,27,999,300.0,2,28,0,0
Sandwich Manne,0,0,3.7,0,74,287,250.0,4,25,1,0
Hyderabadi Biryani Hub,1,0,3.5,45,74,2151,600.0,4,17,0,0
The Kitchen Story,1,0,3.3,19,27,999,300.0,2,2,0,0
 The Bbq,1,0,3.7,0,13,1680,700.0,2,17,1,0
Martinos,0,0,3.6,30,74,627,350.0,2,2,0,0
New Salem Spices,0,0,3.5,50,13,1654,600.0,4,26,0,0
Bansuri Sweets,0,0,3.7,73,90,841,250.0,2,3,0,0
Buff Buffet Buff,1,1,4.5,3125,14,1059,1500.0,4,0,0,1
Halli Oota,0,0,3.3,6,13,1640,450.0,4,18,0,0
Lassi Cafe,0,0,3.6,23,56,2053,300.0,4,17,0,0
Rayalaseema Spice,0,0,3.6,116,13,202,650.0,2,23,0,0
Brews N Bites,1,0,2.7,48,79,2581,650.0,2,4,0,0
