iter	Passed	Remaining
393	1633	2511
394	1636	2506
395	1640	2501
396	1643	2496
397	1647	2491
398	1650	2486
399	1654	2481
400	1657	2476
401	1661	2471
402	1665	2467
403	1669	2462
404	1672	2456
405	1676	2452
406	1679	2446
407	1682	2441
408	1686	2437
409	1690	2432
410	1694	2427
411	1697	2422
412	1701	2418
413	1704	2413
414	1708	2408
415	1711	2403
416	1715	2398
417	1718	2393
418	1723	2389
419	1728	2386
420	1732	2382
421	1736	2378
422	1741	2374
423	1745	2370
424	1749	2366
425	1752	2361
426	1756	2356
427	1759	2351
428	1763	2347
429	1766	2342
430	1770	2337
431	1774	2333
432	1778	2328
433	1781	2323
434	1785	2318
435	1789	2314
436	1792	2309
437	1796	2304
438	1799	2299
439	1803	2295
440	1807	2290
441	1811	2286
442	1814	2281
443	1818	2276
444	1821	2272
445	1825	2266
446	1828	2262
447	1832	2257
448	1835	2253
449	1839	2248
450	1842	2243
451	1846	2239
452	1850	2234
453	1854	2229
454	1857	2225
455	1861	2220
456	1864	2215
457	1868	2210
458	1871	2206
459	1875	2201
460	1878	2196
461	1882	2191
462	1885	2186
463	1889	2182
464	1892	2177
465	1896	2173
466	1901	2169
467	1905	2165
468	1909	2161
469	1912	2156
470	1916	2152
471	1920	2147
472	1923	2143
473	1926	2138
474	1930	2133
475	1934	2129
476	1937	2124
477	1941	2120
478	1945	2116
479	1949	2111
480	1953	2107
481	1956	2102
482	1960	2098
483	1964	2094
484	1968	2090
485	1972	2086
486	1976	2082
487	1981	2078
488	1984	2074
489	1988	2069
490	1992	2065
491	1996	2061
492	2001	2058
493	2005	2054
494	2009	2049
495	2012	2045
496	2016	2041
497	2020	2037
498	2024	2033
499	2028	2028
500	2032	2024
501	2037	2020
502	2041	2016
503	2045	2012
504	2049	2008
505	2053	2004
506	2057	2000
507	2061	1996
508	2064	1991
509	2068	1987
510	2071	1982
511	2075	1978
512	2079	1974
513	2083	1970
514	2087	1966
515	2091	1962
516	2095	1957
517	2099	1953
518	2102	1948
519	2106	1944
520	2110	1940
521	2114	1936
522	2118	1932
523	2123	1928
524	2125	1923
525	2130	1919
526	2134	1915
527	2138	1911
528	2142	1907
529	2146	1903
530	2150	1899
531	2154	1895
532	2158	1891
533	2162	1887
534	2167	1883
535	2171	1879
536	2175	1875
537	2179	1871
538	2183	1867
539	2188	1864
540	2192	1859
541	2196	1855
542	2200	1852
543	2204	1847
544	2208	1844
545	2211	1839
546	2216	1835
547	2220	1831
548	2223	1826
549	2228	1822
550	2231	1818
551	2235	1814
552	2239	1810
553	2243	1806
554	2247	1801
555	2251	1797
556	2254	1793
557	2258	1789
558	2262	1785
559	2266	1780
560	2270	1776
561	2274	1772
562	2278	1768
563	2281	1764
564	2285	1759
565	2289	1755
566	2293	1751
567	2296	1746
568	2299	1742
569	2303	1737
570	2307	1733
571	2311	1729
572	2315	1725
573	2319	1721
574	2323	1717
575	2326	1712
576	2330	1708
577	2334	1704
578	2337	1699
579	2341	1695
580	2344	1690
581	2348	1686
582	2351	1682
583	2354	1677
584	2358	1673
585	2362	1669
586	2366	1664
587	2369	1660
588	2373	1656
589	2376	1651
590	2380	1647
591	2383	1642
592	2387	1638
593	2392	1634
594	2396	1631
595	2400	1626
596	2404	1622
597	2408	1618
598	2412	1615
599	2416	1611
600	2420	1606
601	2424	1602
602	2428	1598
603	2431	1594
604	2435	1590
605	2439	1585
606	2442	1581
607	2446	1577
608	2450	1573
609	2454	1569
610	2457	1564
611	2461	1560
612	2465	1556
613	2468	1552
614	2472	1547
615	2476	1543
616	2479	1539
617	2484	1535
618	2488	1531
619	2492	1527
620	2496	1523
621	2500	1519
622	2504	1515
623	2508	1511
624	2512	1507
625	2515	1503
626	2520	1499
627	2523	1494
628	2527	1491
629	2531	1486
630	2535	1482
631	2539	1478
632	2543	1474
633	2546	1470
634	2550	1465
635	2554	1461
636	2558	1457
637	2561	1453
638	2565	1449
639	2569	1445
640	2572	1440
641	2576	1436
642	2580	1432
643	2584	1428
644	2587	1424
645	2591	1420
646	2594	1415
647	2598	1411
648	2602	1407
649	2607	1403
650	2611	1400
651	2615	1396
652	2619	1392
653	2624	1388
654	2628	1384
655	2632	1380
656	2636	1376
657	2641	1372
658	2645	1368
659	2648	1364
660	2652	1360
661	2656	1356
662	2661	1352
663	2665	1348
664	2669	1344
665	2673	1340
666	2677	1336
667	2682	1333
668	2686	1329
669	2690	1325
670	2695	1321
671	2699	1317
672	2703	1313
673	2708	1309
674	2712	1306
675	2716	1301
676	2720	1298
677	2725	1294
678	2729	1290
679	2733	1286
680	2738	1282
681	2742	1278
682	2746	1274
683	2751	1270
684	2755	1266
685	2759	1263
686	2763	1259
687	2768	1255
688	2772	1251
689	2776	1247
690	2780	1243
691	2785	1239
692	2789	1235
693	2793	1231
694	2797	1227
695	2800	1223
696	2804	1219
697	2809	1215
698	2812	1211
699	2817	1207
700	2821	1203
701	2825	1199
702	2829	1195
703	2833	1191
704	2837	1187
705	2841	1183
706	2845	1179
707	2849	1175
708	2853	1171
709	2857	1167
710	2861	1163
711	2864	1158
712	2868	1154
713	2872	1150
714	2876	1146
715	2880	1142
716	2883	1138
717	2887	1134
718	2892	1130
719	2896	1126
720	2900	1122
721	2904	1118
722	2908	1114
723	2912	1110
724	2916	1106
725	2920	1102
726	2924	1098
727	2928	1094
728	2932	1089
729	2936	1086
730	2940	1082
731	2944	1078
732	2948	1073
733	2952	1069
734	2955	1065
735	2959	1061
736	2963	1057
737	2967	1053
738	2971	1049
739	2975	1045
740	2979	1041
741	2983	1037
742	2987	1033
743	2991	1029
744	2995	1025
745	3000	1021
746	3004	1017
747	3008	1013
748	3012	1009
749	3015	1005
750	3019	1001
751	3024	997
752	3027	993
753	3031	989
754	3035	985
755	3039	981
756	3043	977
757	3047	973
758	3052	969
759	3057	965
760	3061	961
761	3066	957
762	3070	953
763	3075	950
764	3079	946
765	3084	942
766	3089	938
767	3094	934
768	3098	930
769	3103	927
770	3108	923
771	3113	919
772	3117	915
773	3121	911
774	3125	907
775	3129	903
776	3132	899
777	3136	895
778	3140	890
779	3144	886
780	3147	882
781	3151	878
782	3155	874
783	3159	870
784	3163	866
785	3167	862
786	3171	858
787	3174	854
788	3179	850
789	3182	846
790	3186	841
791	3190	837
792	3193	833
793	3197	829
794	3200	825
795	3204	821
796	3207	817
797	3211	812
798	3214	808
799	3218	804
800	3221	800
801	3225	796
802	3228	792
803	3231	787
804	3235	783
805	3238	779
806	3241	775
807	3245	771
808	3248	767
809	3252	762
810	3255	758
811	3259	754
812	3262	750
813	3266	746
814	3270	742
815	3273	738
816	3276	734
817	3280	729
818	3283	725
819	3287	721
820	3290	717
821	3294	713
822	3297	709
823	3301	705
824	3304	701
825	3308	696
826	3312	692
827	3315	688
828	3319	684
829	3322	680
830	3326	676
831	3329	672
832	3333	668
833	3336	664
834	3340	660
835	3343	655
836	3347	651
837	3351	647
838	3354	643
839	3358	639
840	3362	635
841	3365	631
842	3369	627
843	3372	623
844	3376	619
845	3380	615
846	3383	611
847	3387	607
848	3391	603
849	3394	599
850	3398	595
851	3401	590
852	3405	586
853	3408	582
854	3411	578
855	3415	574
856	3419	570
857	3423	566
858	3427	562
859	3430	558
860	3434	554
861	3438	550
862	3441	546
863	3445	542
864	3448	538
865	3453	534
866	3457	530
867	3460	526
868	3464	522
869	3468	518
870	3472	514
871	3476	510
872	3479	506
873	3483	502
874	3486	498
875	3490	494
876	3494	490
877	3498	486
878	3502	482
879	3505	478
880	3509	474
881	3513	470
882	3516	466
883	3520	461
884	3524	457
885	3528	454
886	3532	449
887	3535	445
888	3538	441
889	3542	437
890	3546	433
891	3549	429
892	3553	425
893	3557	421
894	3561	417
895	3564	413
896	3568	409
897	3571	405
898	3575	401
899	3578	397
900	3582	393
901	3585	389
902	3589	385
903	3593	381
904	3597	377
905	3600	373
906	3604	369
907	3608	365
908	3611	361
909	3615	357
910	3618	353
911	3621	349
912	3625	345
913	3629	341
914	3632	337
915	3636	333
916	3640	329
917	3644	325
918	3647	321
919	3651	317
920	3654	313
921	3658	309
922	3662	305
923	3666	301
924	3669	297
925	3673	293
926	3677	289
927	3681	285
928	3684	281
929	3687	277
930	3691	273
931	3695	269
932	3699	265
933	3703	261
934	3707	257
935	3711	253
936	3714	249
937	3718	245
938	3722	241
939	3725	237
940	3729	233
941	3732	229
942	3735	225
943	3739	221
944	3743	217
945	3746	213
946	3750	209
947	3754	205
948	3758	201
949	3761	197
950	3765	194
951	3769	190
952	3773	186
953	3777	182
954	3780	178
955	3784	174
956	3787	170
957	3791	166
958	3794	162
959	3798	158
960	3802	154
961	3805	150
962	3809	146
963	3812	142
964	3816	138
965	3820	134
966	3823	130
967	3827	126
968	3831	122
969	3835	118
970	3839	114
971	3842	110
972	3846	106
973	3850	102
974	3853	98
975	3857	94
976	3860	90
977	3864	86
978	3868	82
979	3872	79
980	3876	75
981	3880	71
982	3883	67
983	3887	63
984	3890	59
985	3894	55
986	3898	51
987	3902	47
988	3906	43
989	3909	39
990	3913	35
991	3916	31
992	3920	27
993	3923	23
994	3927	19
995	3931	15
996	3934	11
997	3938	7
998	3941	3
999	3945	0
